sponsor_name,ticker,exchange,aliases
Pfizer Inc,PFE,NYSE,Pfizer|Seagen Inc|Global Blood Therapeutics Inc
Merck & Co Inc,MRK,NYSE,Merck Sharp & Dohme|MSD|SpringWorks Therapeutics Inc
Johnson & Johnson,JNJ,NYSE,Janssen Pharmaceuticals|Janssen
AbbVie Inc,ABBV,NYSE,AbbVie
Eli Lilly and Company,LLY,NYSE,Lilly
Bristol-Myers Squibb Company,BMY,NYSE,Bristol Myers Squibb|BMS
Amgen Inc,AMGN,NASDAQ,Amgen
Gilead Sciences Inc,GILD,NASDAQ,Gilead|Immunomedics Inc
Regeneron Pharmaceuticals Inc,REGN,NASDAQ,Regeneron
Vertex Pharmaceuticals Incorporated,VRTX,NASDAQ,Vertex
Moderna Inc,MRNA,NASDAQ,ModernaTX|Moderna
Biogen Inc,BIIB,NASDAQ,Biogen
Illumina Inc,ILMN,NASDAQ,Illumina
BioNTech SE,BNTX,NASDAQ,BioNTech
AstraZeneca PLC,AZN,NASDAQ,AstraZeneca|Horizon Therapeutics plc
Novartis AG,NVS,NYSE,Novartis
Roche Holding AG,RHHBY,OTC,Roche|Genentech|F. Hoffmann-La Roche
Sanofi SA,SNY,NASDAQ,Sanofi|Blueprint Medicines Corporation
GlaxoSmithKline plc,GSK,NYSE,GSK|GlaxoSmithKline
Novo Nordisk A/S,NVO,NYSE,Novo Nordisk
Takeda Pharmaceutical Company Limited,TAK,NYSE,Takeda
Bayer AG,BAYRY,OTC,Bayer
Incyte Corporation,INCY,NASDAQ,Incyte
Alnylam Pharmaceuticals Inc,ALNY,NASDAQ,Alnylam
BioMarin Pharmaceutical Inc,BMRN,NASDAQ,BioMarin|Mirati Therapeutics Inc|Karuna Therapeutics Inc
Sarepta Therapeutics Inc,SRPT,NASDAQ,Sarepta
Ultragenyx Pharmaceutical Inc,RARE,NASDAQ,Ultragenyx
Exact Sciences Corporation,EXAS,NASDAQ,Exact Sciences
Exelixis Inc,EXEL,NASDAQ,Exelixis
Ionis Pharmaceuticals Inc,IONS,NASDAQ,Ionis
Neurocrine Biosciences Inc,NBIX,NASDAQ,Neurocrine
Arrowhead Pharmaceuticals Inc,ARWR,NASDAQ,Arrowhead
CRISPR Therapeutics AG,CRSP,NASDAQ,CRISPR Therapeutics
Editas Medicine Inc,EDIT,NASDAQ,Editas Medicine
Intellia Therapeutics Inc,NTLA,NASDAQ,Intellia Therapeutics
Beam Therapeutics Inc,BEAM,NASDAQ,Beam Therapeutics
Recursion Pharmaceuticals Inc,RXRX,NASDAQ,Recursion
Schrodinger Inc,SDGR,NASDAQ,Schrodinger
Twist Bioscience Corporation,TWST,NASDAQ,Twist Bioscience
10x Genomics Inc,TXG,NASDAQ,10x Genomics
Guardant Health Inc,GH,NASDAQ,Guardant Health
Agios Pharmaceuticals Inc,AGIO,NASDAQ,Agios
Revolution Medicines Inc,RVMD,NASDAQ,Revolution Medicines
Arcus Biosciences Inc,RCUS,NASDAQ,Arcus Biosciences
MacroGenics Inc,MGNX,NASDAQ,MacroGenics
Karyopharm Therapeutics Inc,KPTI,NASDAQ,Karyopharm
Adaptive Biotechnologies Corporation,ADPT,NASDAQ,Adaptive Biotechnologies
Denali Therapeutics Inc,DNLI,NASDAQ,Denali Therapeutics
BridgeBio Pharma Inc,BBIO,NASDAQ,BridgeBio
Axsome Therapeutics Inc,AXSM,NASDAQ,Axsome
Cytokinetics Incorporated,CYTK,NASDAQ,Cytokinetics
Insmed Incorporated,INSM,NASDAQ,Insmed
Halozyme Therapeutics Inc,HALO,NASDAQ,Halozyme
United Therapeutics Corporation,UTHR,NASDAQ,United Therapeutics
Jazz Pharmaceuticals plc,JAZZ,NASDAQ,Jazz Pharmaceuticals
Alkermes plc,ALKS,NASDAQ,Alkermes
Acadia Pharmaceuticals Inc,ACAD,NASDAQ,Acadia
Supernus Pharmaceuticals Inc,SUPN,NASDAQ,Supernus
Pacira BioSciences Inc,PCRX,NASDAQ,Pacira
Amicus Therapeutics Inc,FOLD,NASDAQ,Amicus
Apellis Pharmaceuticals Inc,APLS,NASDAQ,Apellis
Travere Therapeutics Inc,TVTX,NASDAQ,Travere
Keros Therapeutics Inc,KROS,NASDAQ,Keros
Vir Biotechnology Inc,VIR,NASDAQ,Vir Biotechnology
Celldex Therapeutics Inc,CLDX,NASDAQ,Celldex
Immunovant Inc,IMVT,NASDAQ,Immunovant
Roivant Sciences Ltd,ROIV,NASDAQ,Roivant
ImmunityBio Inc,IBRX,NASDAQ,ImmunityBio
Allogene Therapeutics Inc,ALLO,NASDAQ,Allogene
Legend Biotech Corporation,LEGN,NASDAQ,Legend Biotech
Iovance Biotherapeutics Inc,IOVA,NASDAQ,Iovance
Kymera Therapeutics Inc,KYMR,NASDAQ,Kymera
Relay Therapeutics Inc,RLAY,NASDAQ,Relay Therapeutics
Erasca Inc,ERAS,NASDAQ,Erasca
Nuvalent Inc,NUVL,NASDAQ,Nuvalent
Monte Rosa Therapeutics Inc,GLUE,NASDAQ,Monte Rosa
Structure Therapeutics Inc,GPCR,NASDAQ,Structure Therapeutics
